IATA_Code,ICAO_Code,Airline_Name,Source
XY,KNE,"Flynas",IATA
XZ,AEZ,"Aeroitalia",IATA
Y4,VOI,"Volaris",IATA
Y5,AWA,,LEGACY
Y7,TYA,"NordStar",IATA
Y8,YZR,"Suparna Airlines",IATA
Y9,IRK,,LEGACY
YC,YCC,,LEGACY
YE,YEL,,LEGACY
YG,HYT,"YTO Cargo Airlines",IATA
YL,LLM,,LEGACY
YM,MGX,,LEGACY
YO,TYS,,LEGACY
YP,APZ,"Air Premia",IATA
YS,RAE,,LEGACY
YT,TGA,,LEGACY
YU,MMZ,"EuroAtlantic Airways",IATA
YV,ASH,,LEGACY
YW,ANE,"Air Nostrum",IATA
YX,MEP,,LEGACY
YY,VWA,,LEGACY
Z3,SMJ,,LEGACY
Z4,OOM,,LEGACY
Z5,IIR,,LEGACY
Z6,ZTT,,LEGACY
Z7,ADK,,LEGACY
Z8,AZN,,LEGACY
ZA,CYD,,LEGACY
ZB,BUB,,LEGACY
ZC,KGO,,LEGACY
ZE,ESR,"Eastar Jet",IATA
ZG,VVM,,LEGACY
ZH,CSZ,"Shenzhen Airlines",IATA
ZI,AAF,,LEGACY
ZK,GLA,,LEGACY
ZL,RXA,,LEGACY
ZM,IWA,,LEGACY
ZN,ZNA,,LEGACY
ZP,AZP,"Paranair",IATA
ZQ,GER,"German Airways",IATA
ZS,SMY,,LEGACY
ZV,AMW,,LEGACY
ZW,AWI,,LEGACY
ZX,GGN,,LEGACY
ZY,ADE,,LEGACY
